id;id_2_course;id_2_employee;code;date;expiry;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10;created;created_at;edited;edited_at
1;22625;26268;cross-platform Metal;2023-05-28T15:32:33;2023-05-28T07:54:22;adapter;Mouse mobile Car;generate Factors;deposit;compress Chief;Salad Home;Streamlined;innovative;heuristic Rubber;Bedfordshire;Towels;2023-05-28T16:04:00;revolutionize Rubber back-end;2023-05-28T06:59:28
2;26309;89046;Cambridgeshire Soft;2023-05-28T05:42:25;2023-05-28T18:41:17;Balboa Metal convergence;Branding Money;Loan;Montana transmitting payment;Computers;Auto;Sudanese;quantify pixel Kids;global;calculating;withdrawal indexing River;2023-05-28T00:23:51;Money;2023-05-28T16:21:43
3;99424;95662;Caledonia defect;2023-05-28T05:08:46;2023-05-28T13:45:18;USB Steel;collaborative mobile ubiquitous;ROI metrics Stravenue;Intranet;access;eyeballs Account Kentucky;Dinar violet;system Dynamic Australia;bypassing;Electronics;Kansas Table azure;2023-05-28T09:46:57;convergence;2023-05-28T12:32:19
4;94704;70326;Handmade Proactive;2023-05-28T00:34:10;2023-05-28T19:36:59;Bedfordshire Senior Extended;methodologies Identity;methodologies Enterprise-wide transition;extensible Shoes;Palau Buckinghamshire;Right-sized reboot;Quality-focused Synergistic Global;generate Solutions THX;B2C white Berkshire;Frozen;Virginia cross-platform the;2023-05-28T00:04:42;Architect Dakota Implementation;2023-05-28T04:56:08
5;55752;61373;productize Iranian U;2023-05-28T02:02:59;2023-05-28T09:21:23;ADP;firewall;alarm systems Object-based;Ergonomic Plastic;Fords;invoice groupware;Borders navigating Account;Home Granite;throughput Buckinghamshire;Shoes;Orchestrator Cambridgeshire Incredible;2023-05-28T17:46:57;AI;2023-05-28T20:03:13
6;60964;67671;sticky;2023-05-28T05:04:40;2023-05-28T06:52:40;encompassing Bedfordshire;Facilitator dedicated Mexico;improvement Fantastic Assistant;Synergistic e-markets;Refined Table Functionality;Account;Forward Plain;scale Rubber;feed calculating;Cambridgeshire Gloves digital;silver Bike;2023-05-28T00:52:08;database value-added;2023-05-28T04:36:11
7;65409;54386;Dynamic gold envisio;2023-05-28T04:39:45;2023-05-27T22:36:26;Investment Tuna;JSON;aggregate withdrawal;AGP;monitor capacitor;navigate Wooden;matrix Games;Optimization;Exclusive;invoice Cambridgeshire partnerships;HTTP purple Concrete;2023-05-28T10:51:31;Interactions Chair;2023-05-28T01:01:55
8;77503;13131;Awesome;2023-05-28T13:09:42;2023-05-28T13:03:49;Baby Buckinghamshire Sleek;payment Facilitator Oregon;Sausages silver JSON;Keyboard Concrete Computers;dot-com Grocery transmit;integrated;Account;database;program Soap override;Games;Multi-tiered Chicken;2023-05-28T15:31:43;Gorgeous object-oriented auxiliary;2023-05-28T12:45:59
9;24151;26435;Applications PNG;2023-05-28T03:44:03;2023-05-28T06:40:48;JBOD Account Keyboard;Pizza Coordinator SMS;Cape Sleek;Fantastic;stable Soft;azure Cloned Creative;Salad blockchains open-source;withdrawal hacking;solid;copy;Agent Incredible deposit;2023-05-27T21:36:15;lavender;2023-05-28T02:48:24
10;42625;86437;Montana;2023-05-28T03:56:00;2023-05-28T20:32:20;Macao;Fantastic Dollar;silver generate;Customer Investor;Paradigm;transmitting panel Jewelery;Wells Internal withdrawal;Direct Orchestrator exuding;up Metal;Guatemala Wooden groupware;monitor extranet Drives;2023-05-28T15:01:24;Executive;2023-05-28T14:02:26
