id;job_title;rol;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10;handling
1;Dynamic Operations Associate;SUPERVISOR;Avon for hacking;Auto deposit;ubiquitous;Drive optimizing primary;copying Beauty;pink applications;Plastic Down-sized ADP;Ergonomic;Buckinghamshire;card Mills;MULTITASK
2;National Accounts Developer;SUPERVISOR;Shirt;SMS Mobility;Operations Balboa;Incredible;Singapore Cross-group USB;Wooden;Cambridgeshire Markets content-based;violet Balboa;e-services violet;green e-commerce;MULTITASK
3;Legacy Accounts Planner;SUPERVISOR;blue;Sleek;neutral;Togo fuchsia;Sterling Greens Steel;access silver;white Mouse;Web Books;orange;Horizontal Toys;MULTITASK
4;Corporate Program Strategist;MANAGER;groupware;generating Iranian recontextualize;up attitude bricks-and-clicks;Bermuda Market;forecast transmit;methodology online Checking;Cotton;grow compressing bypassing;web-enabled non-volatile;Fresh;CHECKIN
5;Future Integration Agent;MANAGER;Consultant Lesotho;panel;Mississippi bypassing;Dynamic Arkansas;Bedfordshire Senior B2B;white deposit B2C;Bacon frictionless Senegal;Villages;intangible Squares;microchip;RAMP
6;Dynamic Division Strategist;MANAGER;e-tailers syndicate;architectures ADP quantify;Supervisor Cambridgeshire;transmit;Paradigm;Industrial Sharable;client-driven FTP XSS;olive matrix Savings;Market stable override;cutting-edge Sports Corporate;MULTITASK
7;District Metrics Director;SUPERVISOR;Avon;Practical payment Spain;Connecticut Grass-roots;New grey;Implementation parse;executive Tokelau;Rubber Liaison;infrastructure transmit;bypass Intelligent;plum Devolved;CHECKIN
8;Forward Accounts Director;OPERATIONAL;Soft;invoice Automotive;application;Summit invoice bypass;mission-critical;state online Buckinghamshire;relationships De-engineered magenta;override Montserrat;Consultant JSON Mississippi;Facilitator budgetary;CHECKIN
9;Human Marketing Supervisor;OPERATIONAL;e-tailers intermediate optimizing;program Planner Cambridgeshire;Alaska;paradigms;Cuban;Handmade Auto Jamahiriya;Automotive Research;Response Borders Consultant;withdrawal extranet;USB;MULTITASK
10;Direct Factors Producer;SUPERVISOR;Bedfordshire synthesize;Buckinghamshire Sleek;Berkshire;Chair Investment synthesize;Future;Latvian withdrawal;Soft Money Mississippi;forecast;Shirt web-readiness;Romania help-desk blue;RAMP
