id;id_2_employee;date;description;state;link;extra_1;extra_2;extra_3;extra_4;extra_5;extra_6;extra_7;extra_8;extra_9;extra_10;created;created_at;edited;edited_at
1;89897;2023-05-27T20:46:41;payment;NEW;Alaska vortals;payment;reinvent;Brazil Shirt;killer 1080p Chicken;artificial Omani;Towels Persistent Samoa;Cotton;Soft African;Global Program;Optimization invoice payment;EXE;2023-05-28T13:54:25;Gloves Analyst leverage;2023-05-28T14:59:27
2;35335;2023-05-28T19:19:18;parsing Associate Enterprise-wide;CHECK;override Connecticut;Tuna Business-focused;background;neutral;Soft firewall;Optimization Guinea;connecting Republic complexity;architectures hack Clothing;Implementation;synthesize program Plastic;auxiliary Card;quantifying superstructure;2023-05-28T02:18:11;Dakota card e-markets;2023-05-28T06:38:11
3;48291;2023-05-28T13:09:13;hierarchy circuit Bedfordshire;CHECK;Divide program deliverables;Berkshire explicit;Computers Lead;invoice;Metal Georgia;Bacon Village virtual;upward-trending;ability;content;generating override;engage Baby;deposit;2023-05-28T04:28:31;Oregon;2023-05-28T00:25:12
4;43745;2023-05-27T23:13:53;Texas;CHECK;Towels SAS;Intelligent networks;Soft orchid Pizza;UAE Samoa Soft;parse;River sky;Investor Wooden;Cotton reinvent archive;invoice;bottom-line Computer;granular;Island;2023-05-28T15:59:32;Grocery paradigm Corporate;2023-05-28T18:20:58
5;58032;2023-05-28T15:46:41;architect;CHECK;Architect attitude;implementation Handmade;application Krone integrate;cross-platform;copying Decentralized;Bahamas flexibility Nepal;Ville Escudo Auto;West Analyst Antillian;Bedfordshire Krone;array Naira;Optional;Identity;2023-05-28T06:45:31;Regional Chief reboot;2023-05-28T07:08:07
6;83136;2023-05-28T15:50:58;Lek;NEW;Colorado card;Steel;Savings;Islands,;action-items Director;connect Wooden;holistic;Flat;transmitter Pizza;Islands alarm Automotive;Mauritius Steel Awesome;Music Indiana;2023-05-28T08:13:43;payment communities Metrics;2023-05-28T05:10:25
7;86812;2023-05-28T02:36:03;Assimilated invoice application;NEW;synthesize Refined protocol;bypassing;Handmade Glens;Concrete;Auto transmitting multi-byte;Shoes compress Rubber;efficient invoice;Ford matrices;white River Wooden;Taiwan;pixel Berkshire;Synergistic sensor Grocery;2023-05-28T04:27:50;green Money Central;2023-05-28T17:22:03
8;63043;2023-05-28T14:38:18;Money;NEW;mindshare Rupee Syrian;Pants;dynamic;Croatia;Kentucky Investment Web;infomediaries Future;TCP;Mouse;driver seamless Profound;Drive Locks feed;Massachusetts Multi-tiered visionary;Massachusetts;2023-05-28T04:40:04;Flats directional navigate;2023-05-28T15:01:46
9;12871;2023-05-28T02:36:10;Rubber bottom-line Turnpike;NEW;payment;Keyboard;Account;HTTP supply-chains Human;pink granular Road;orange redefine bleeding-edge;Branding CSS;Dollar solid;dynamic;Account exploit grey;Mouse bypass Common;secured invoice;2023-05-28T17:03:18;Wooden;2023-05-27T22:56:31
10;84886;2023-05-28T12:37:20;back-end;CHECK;CSS Auto Account;Exclusive District harness;bypassing online holistic;bypass;Accountability;Handcrafted;Plastic;AI Mall;Licensed scale Strategist;Garden;initiatives installation Brand;cyan;2023-05-28T00:43:51;infrastructures CFP;2023-05-28T17:29:15
